year,metric,label,value,source
2024,capital_employed_average,"Capital employed, average",14060.0,AR2025 p66
2023,capital_employed_average,"Capital employed, average",14230.0,AR2025 p66
2025,adjusted_roce,Adjusted ROCE,0.038,AR2025 p66
2024,adjusted_roce,Adjusted ROCE,0.043,AR2025 p66
2023,adjusted_roce,Adjusted ROCE,0.024,AR2025 p66
2025,adjusted_ebit_excl_forest_segment,Adjusted EBIT excl. Forest segment,210.0,AR2025 p66
2024,adjusted_ebit_excl_forest_segment,Adjusted EBIT excl. Forest segment,290.0,AR2025 p66
2023,adjusted_ebit_excl_forest_segment,Adjusted EBIT excl. Forest segment,89.0,AR2025 p66
2025,capital_employed_excl_forest_segment_average,"Capital employed excl. Forest segment, average",7860.0,AR2025 p66
2024,capital_employed_excl_forest_segment_average,"Capital employed excl. Forest segment, average",8071.0,AR2025 p66
2023,capital_employed_excl_forest_segment_average,"Capital employed excl. Forest segment, average",8490.0,AR2025 p66
2025,adjusted_roce_excl_forest_segment,Adjusted ROCE excl. Forest segment,0.027000000000000003,AR2025 p66
2024,adjusted_roce_excl_forest_segment,Adjusted ROCE excl. Forest segment,0.036000000000000004,AR2025 p66
2023,adjusted_roce_excl_forest_segment,Adjusted ROCE excl. Forest segment,0.01,AR2025 p66
2025,net_result_for_the_period,Net result for the period,686.0,AR2025 p66
2024,net_result_for_the_period,Net result for the period,-183.0,AR2025 p66
2023,net_result_for_the_period,Net result for the period,-431.0,AR2025 p66
2025,total_equity_average,"Total equity, average",10259.0,AR2025 p66
2024,total_equity_average,"Total equity, average",10576.0,AR2025 p66
2023,total_equity_average,"Total equity, average",11413.0,AR2025 p66
2025,return_on_equity_roe,Return on equity (ROE),0.067,AR2025 p66
2024,return_on_equity_roe,Return on equity (ROE),-0.017,AR2025 p66
2023,return_on_equity_roe,Return on equity (ROE),-0.038,AR2025 p66
2025,net_debt,Net debt,3181.0,AR2025 p66
2024,net_debt,Net debt,3707.0,AR2025 p66
2023,net_debt,Net debt,3167.0,AR2025 p66
2025,adj_ebitda,Adjusted EBITDA,1144.0,AR2025 p66
2024,adj_ebitda,Adjusted EBITDA,1223.0,AR2025 p66
2023,adj_ebitda,Adjusted EBITDA,989.0,AR2025 p66
2025,net_debt_to_ebitda,Net debt to adjusted EBITDA ratio,2.8,AR2025 p66
2024,net_debt_to_ebitda,Net debt to adjusted EBITDA ratio,3.0,AR2025 p66
2023,net_debt_to_ebitda,Net debt to adjusted EBITDA ratio,3.2,AR2025 p66
